ew	mc	pps
0.005088063161	0.002040077513	0.004081178658
0.01406655779	0.02022395802	0.01174985883
0.005134704521	0.009896641187	0.02467666953
0.007954096825	0.01816910826	0.01622932252
0.001727102181	0.001727102181	0.005211140811
0.002585958456	0.006799726322	0.0002224089125
4.00432882e-06	0.005343579572	0.002822948508
0.0003203169648	0.0002252220304	0.002490128305
0.0006122078827	0.0005356245798	0.003538131131
7.995862279e-05	0.0001280463464	0.004551901679
0.001862004116	0.001334371859	0.01024514234
0.0004931351276	0.001060441435	0.003660700325
0.001742779747	0.004890557485	0.002276718864
0.002812455739	0.006140036699	0.027590311
0.007164649172	0.001330051121	0.000293630502
0.001906329903	0.0007151400103	0.006698053476
0.003658703411	0.01369516598	0.003509184507
0.002425093527	0.002616424425	0.002616424425
0.0009560705133	0.001579269285	0.002157018733
0.004898858641	0.004326274859	0.005412922549
0.008188180701	0.008832036559	0.003050774565
0.003564397282	8.467779515e-05	0.01295663251
2.834838213e-06	8.603048561e-05	4.830441157e-05
5.585831063e-05	2.861035422e-05	9.673024523e-05
0.0001589744973	0.001502818152	0.00372004312
0.0004734268627	0.0002707096324	0.00181075325
0.0004089833072	0.0005687833859	0.0005210942644
0.0003823374136	0.0003095890035	0.002026008747
0.002359747734	0.004573586935	0.01047796113
0.001428440678	0.007575707661	0.001769525116
0.002100965665	0.008602343351	0.002205517316
0.00759155985	0.003704257502	0.00288187238
0.002689873213	0.007950048792	0.003497640248
0.001856461092	0.0005711496676	0.003794830082
8.174386921e-05	2.72479564e-05	2.710505431e-20
8.174386921e-05	2.72479564e-05	2.710505431e-20
0.002163118562	0.007211560616	0.008494551993
0.003750385827	0.003581881005	0.005466383658
0.0002688412535	0.006631379801	0.003371548543
0.02684463735	0.01088079321	0.006146425487
0.008730908415	0.007703298607	0.005664031985
0.002896527555	0.001281609683	0.0003200479207
0.0008857918582	0.004704412549	0.002330465139
0.0004643727003	0.002996487368	0.005795186611
0.02230229339	0.006757516347	0.001307516298
0.001145074926	0.0188307674	0.00516763951
0.01020883267	0.009579092836	0.002631032797
0.006128798827	0.01252090585	0.002721200906
0.0006374473912	0.0003896864325	0.004769948464
0.00105405378	0.01435973083	0.01162275252
0.00478503228	0.0053027117	0.01113542878
3.347606072e-05	3.347606072e-05	1.531075646e-05
0.0001280653951	8.174386921e-06	1.907356948e-05
2.963728633e-05	0.0003223027343	0.003509663566
0.001467323073	0.005904654626	0.0004485838619
0.0003897782687	0.005553444283	0.005348015786
0.002428208146	0.001567957377	0.005054107682
0.001555640753	0.0005518990674	0.005057499339
0.007237673012	0.007087809251	0.007074185273
0.00152281619	0.001503710327	0.002243426788
0.003420784188	0.0003267972279	0.001100705974
0.0003936663357	0.004081297423	0.0008986346515
0.005343487818	0.009089260358	0.0130329357
0.003189736602	0.001127437676	0.0004406869993
0.005567226647	0.001040484999	0.004966189067
0.006446731178	0.0006483777833	0.001873410257
0.0006553425755	0.001302223821	0.005316637843
0.0004265806165	0.0006833908829	0.003077179901
0.0001863565198	0.001195803333	0.003887695001
0.000408344437	0.001215060688	0.002228638559
0.001980143056	0.000234188398	0.001628729649
0.009489474474	0.009489474474	0.001713667478
0.0003411818366	0.000679718747	0.002568652075
0.002265643927	0.0009022374304	0.00144924223
0.000655635037	0.0006266265203	0.002266619323
0.00058370736	0.0007564283021	0.002623123204
0.003363669996	0.0004838820721	0.002503656214
